wl;00_background;01_m_c;01_m_q;02_m_c;02_m_q;03_m_c;03_m_q
590;8.276759331;14.04512392;35.21845284;23.89924623;18.49574666;47.79917643;31.14168878
591;8.296183449;14.06953138;35.164573;23.94740491;18.47062027;47.85208477;31.11964462
592;8.315506495;14.09474624;35.10858048;23.99802139;18.44437706;47.90539809;31.09558299
593;8.334679655;14.12037809;35.05092601;24.05022916;18.41716819;47.95877262;31.06977706
594;8.353654112;14.14603647;34.99206032;24.1031617;18.38914486;48.01186459;31.04249998
595;8.372381049;14.17133095;34.93243416;24.15595249;18.36045823;48.06433024;31.01402494
596;8.390811651;14.19587108;34.87249825;24.20773501;18.33125949;48.11582579;30.98462509
597;8.408897102;14.21926643;34.81270333;24.25764274;18.30169982;48.16600747;30.95457361
598;8.426588586;14.24112656;34.75350013;24.30480916;18.27193039;48.21453151;30.92414366
599;8.443837286;14.26106103;34.6953394;24.34836777;18.24210238;48.26105416;30.89360842
600;8.460594387;14.27867939;34.63867186;24.38745203;18.21236698;48.30523163;30.86324105
601;8.476675549;14.29496577;34.58272008;24.42473789;18.18213804;48.34780245;30.83245584
602;8.491999123;14.31110881;34.52638746;24.46324627;18.15080776;48.38971579;30.80050381
603;8.506670328;14.32702488;34.46964598;24.50262808;18.11849482;48.43094387;30.76741319
604;8.520794381;14.34263033;34.41246761;24.54253426;18.08531791;48.47145887;30.73321223
605;8.534476501;14.35784152;34.35482435;24.58261573;18.0513957;48.51123301;30.69792917
606;8.547821906;14.37257481;34.29668818;24.62252341;18.01684689;48.55023849;30.66159226
607;8.560935815;14.38674655;34.23803107;24.66190824;17.98179014;48.58844752;30.62422972
608;8.573923445;14.40027311;34.17882501;24.70042113;17.94634416;48.62583229;30.58586981
609;8.586890014;14.41307085;34.11904199;24.73771303;17.91062761;48.66236502;30.54654077
610;8.599940742;14.42505612;34.05865397;24.77343484;17.87475918;48.6980179;30.50627084
611;8.613180845;14.43614528;33.99763296;24.8072375;17.83885756;48.73276315;30.46508827
