"wl","Transmission"
507,0.896771166989548
508,0.897933515191195
509,0.899197500274609
510,0.900218260567662
511,0.90106097715542
512,0.901886736359184
513,0.902824368384037
514,0.903767893922678
515,0.904523802948965
516,0.905162104787327
517,0.905618093779213
518,0.905781517292475
519,0.905987829444385
520,0.906389969742283
521,0.906950608173713
522,0.907624440021932
523,0.908052776987428
524,0.908415520116511
525,0.908587056040879
526,0.90756288557006
527,0.906626784851841
528,0.906726994484874
529,0.907268849692366
530,0.907676118587805
531,0.907649898947693
532,0.907541608458896
533,0.907421554109008
534,0.907443588211053
535,0.907400660196123
536,0.907679538596703
537,0.909195109271802
538,0.910761633325959
539,0.911530642533711
540,0.912285405670813
541,0.912922305130679
542,0.913610518284648
543,0.914440887254528
544,0.915050942601006
545,0.915464387664849
546,0.916161804660932
547,0.91697261034227
548,0.91783869615632
549,0.918856382537409
550,0.91935698872149
551,0.919345826965025
552,0.919787011938225
553,0.920443020862143
554,0.921020834543807
555,0.921747567133504
556,0.922599622829745
557,0.923335718808596
558,0.924078591935962
559,0.924837162827584
560,0.925210871619733
561,0.925803305953159
562,0.926780158277258
563,0.927559197934793
564,0.928112725243249
565,0.928404965427152
566,0.928614097980276
567,0.928905718257799
568,0.929151917035413
569,0.929269788831371
570,0.929297411117565
571,0.92946432944305
572,0.929837572311475
573,0.930078177366923
574,0.93000848114893
575,0.930163065848573
576,0.930711523060002
577,0.931272779707592
578,0.93183671550358
579,0.932534112117753
580,0.933384806602035
581,0.934338756113387
582,0.935269012485168
583,0.936113579889284
584,0.936960478994944
585,0.938046099222257
586,0.939051594705471
587,0.939997168615667
588,0.941002785693436
589,0.942044184140049
590,0.943055149621543
591,0.943681529016394
592,0.944303185094496
593,0.94536208817395
594,0.946417424019493
595,0.947490597905848
596,0.948392257892354
597,0.94915926401418
598,0.949872011000824
599,0.950563405423409
600,0.951025543613961
601,0.95143094526005
602,0.952272166885138
603,0.952792175133376
604,0.952893897052111
605,0.95307183679121
606,0.953342001645571
607,0.953740804296087
608,0.954178121971856
609,0.954736742282864
610,0.955250097986727
611,0.955908588565787
612,0.956462616008491
613,0.956501858446783
614,0.956693288521684
615,0.957036596945428
616,0.957373615644039
617,0.957789742911205
618,0.958125823464641
619,0.958203242971248
620,0.958224103182705
621,0.958568763550557
622,0.958806767890026
623,0.959019135291935
624,0.959480564157709
625,0.960048719562314
626,0.960598309870059
627,0.961204148142662
628,0.961638043896519
629,0.96199238971338
630,0.962785711468453
631,0.963289280048139
632,0.963661178583858
633,0.96424593834798
634,0.964622244622478
635,0.965028190093516
636,0.965543037169471
637,0.965940069066793
638,0.966144713388478
639,0.966389453727239
640,0.966705887644032
641,0.967085178295265
642,0.967717795157528
643,0.96799211166453
644,0.967982385673218
645,0.968303800372107
646,0.968536923173898
647,0.968507729071161
648,0.968621266636271
649,0.968946544327403
650,0.96948215195616
651,0.969920190530352
652,0.970254840755978
653,0.97049290255281
654,0.970552223966399
655,0.971034243257827
656,0.971875301541611
657,0.972518380464819
658,0.972936202609746
659,0.973430409096073
660,0.974080226206315
661,0.974451395336111
662,0.97472272375388
663,0.974743535518364
664,0.974387348370201
665,0.974477912828128
666,0.97439591491794
667,0.97422255896965
668,0.974732109396578
669,0.975616805670479
670,0.976472870722334
671,0.977004458173769
672,0.977300636947513
673,0.977668121558158
674,0.978176607515372
675,0.979121815998261
676,0.979827937487453
677,0.980193910250743
678,0.980444261803829
679,0.980338778027739
680,0.979988341460351
681,0.979586765595693
682,0.9791718264351
683,0.978963193235368
684,0.979148460585218
685,0.979404285514561
686,0.97962818715692
687,0.979972340908192
688,0.980663474504065
689,0.981063438137049
690,0.98110574362207
691,0.980923391246881
692,0.980602714015104
693,0.980869595557568
694,0.981358382302017
695,0.981260194664773
696,0.981157498443813
697,0.980878219095455
698,0.980389671506665
699,0.98017749598901
